,"CYANOTYPES 3.1 - CREATIVE AGENCY CIRCLE  - TRAINING PROGRAMME 
CLUSTER GROUPS - COMPETENCES, - LEARINING OUTCOMES - KNOWLEDGE - SKILLS - RESPONSABILITY & AUTONOMY - FUTURE PROFESSIONAL PROFILE 
VERSION 1.0 FOR MID-TERM REPORTING 

Project: Grant Agreement:
101056314 — CYANOTYPES — ERASMUS-EDU-2021-PI-ALL-INNO
Co-funded by the European Union",,,,,,,,
,IMPORTANT NOTES,,,,,,,,
,"Competences may encompass multiple specific learning outcomes achievable through the relevant content and activities and this results in a course typically containing more Learning Outcomes (between three to five) than competences. Having fewer than three LOs may not provide sufficient information for making improvements, while having more than five could make assessment too complex.







",,,,"LO refers to a measurable competency by providing a clear indication of what learners should be able to demonstrate as a result of their learning experience (terms such as ""demonstrate,"" ""understand,"" or ""discuss"" shall be avoided as they can be interpreted in many ways). The standard way to express an LO is ""Upon completion of this course/module/unit, learners will be able to….""
","Knowledge: Specialised, factual and theoretical knowledge within a field of work or study and an awareness of the boundaries of that knowledge
Skills: A comprehensive range of cognitive and practical skills required to develop creative solutions to abstract problems
Responsibility: Exercise management and supervision in contexts of work or study activities where there is unpredictable change; review and develop performance of self and others",,,
,Collective Agency Cluster,,,,,,,,
,Competence,Course title (if different to competence),EQF,Description,Learning Outcome,Knowledge,Skills,Responsibility and autonomy,Description of professional profile of an experience future consultant operating in this realm
,Creative confidence,Setting the pace: Art and culture driving the climate transition ,5,Increasing the individual and collective ability to act,"1. Learner recognises creativity as a key competence in the context of the triple transition
2. Learner understands the full potential of shared creativity in a variety of contexts
3. Learner strengthens the ability to navigate situations characterised by uncertainty or multiple crisis.


The module aims to empower artists and creatives to recognise creativity as a key competence in the context of the triple transition. The learner will learn how to understand the full potential of shared creativity in a variety of creative contexts. This will strengthen the ability to navigate situations characterised by uncertainty or multiple crisis.","1. Knows the nuts and bolts of creativity, such as basic understanding of creative processes, and the power to create affect and be affected.
2. Awareness of cross-creativity, including methods and tools to nurture creative confidence within and beyond sectors and disciplines
3. Awareness of historical and contemporary context, specifically historical developments and contemporary conditions.","1. Able to recognize and comprehend the interests and needs of a target group or customers
2. Able to show resilience, and has the capacity to navigate change and uncertainty and handle setbacks
3. Able to show courage and overcome fear of failure and procrastination
4. Knows how to reflect, identify and understand the factors that influence creative confidence and how to support it, from multiple perspectives","Engages in continuous self-reflection to understand personal influences on creative confidence as well as the experiences, interests and needs of others, including target audiences and team members.

Fosters collaborative engagement with diverse stakeholders, measuring and communicating the impact of multidisciplinary projects within broader ecosystems, and leveraging feedback to continuously improve and innovate.",Artistic entrepreneur
,Collaboration (across creative disciplines),"We ♡ bacteria:
Fermentation strategies across the arts and sciences",5,Exploring new forms of working together independently from common institutional  frameworks,"1. Learner recognises the impact of participatory practices in multifunctional and cross-disciplinary teams 

2. Learner understands how to collaboratively address complex challenges through creative practice

3. Learner enters collaborative teamwork in agile project contexts


This module will enable participants to recognise the impact of participatory practices in multifunctional and cross-disciplinary teams. The learner will understand how to collaboratively address complex challenges through creative practice and become empowered to enter collaborative teamwork in agile project contexts.","1. Knows strategies of co-creation, differentiating specific aspects of participatory processes, collaboration, cooperation and teamwork.
2. Critical awareness and recognision of the boundaries and limitations of existing knowledge and practices within the field as well as recognising one’s own creative boundaries and divisions of creative labor.
3. Awareness of cultural sensitivity and has understanding of cultural nuances and their impact on creative expression and communication.","1. Knows how to communicate effectively, both verbally and in writing, is essential for articulating ideas, pitching projects, and collaborating with diverse stakeholders.
2. Knows how to create mutual respect, with the development of self-esteem and confidence in oneself and others based on creative success.
3. Knows how to experiment, and has the capacity to think outside the box and the willingness to experiment to learn.
3. Able to show determination, such as to select and apply effective creative techniques.
4. Knows how to facilitate, has the capacity to organise and oversee creative processes for specific problems or issues","Proactively seeks opportunities to experiment with new creative techniques and approaches, fostering a culture of continuous learning and innovation within oneself and among collaborators.

Develops strategies for overcoming fear of failure and building resilience in the face of obstacles, both personally and within teams.

Takes an active role in mentoring and coaching peers or team members to develop their creative confidence, leveraging design practices and techniques to facilitate growth.",Shared creativity consultant
,Conceptual and critical thinking,"Artistic intelligence:
What does it mean to make something new in the age of machine learning?",5,"Empowering creatives through self-directed, iterative learning frameworks","1. Learner recognises the value of processes of analysis, interpretation, presentation, evaluation and documentation. 

2. Learner understands the correlations between critical and conceptual thinking.

3. Learner translates context-specific knowledges across fields of creative practice.

This module will enable participants to recognise the value of processes of analysis, interpretation, presentation, evaluation and documentation. The learners will develop skills to understand the correlations between critical and conceptual thinking as well as translate context-specific knowledges across fields of creative practice.","1. Knows the foundations of systems thinking, such as understanding the principles, methods, and practices of systems thinking, including system dynamics, feedback loops, and systems archetypes, within the context of creative practice.
2. Understands innovation strategies relating to advanced innovation methods within multidisciplinary contexts, including problem-solving, stakeholder mapping, thematic analysis, and reframing problems to identify new opportunities.
3. Awareness of design thinking and creative practice, has familiarity with methodologies and practices relevant creative endeavours, including abductive reasoning, visual literacy, and storytelling strategies to articulate design decisions within broader ecosystems.","1. Knows how to use creative problem-solving, such as having the capacity to devise novel solutions to complex problems through the application of diverse thinking techniques
2. Knows how to employ affordance mapping by demonstrating proficiency in mapping broader ecosystems related to creative practice, analysing the relationships between actors, constraints and constructors to understand systemic influences to inform strategic decision-making and project design.
3. Able to use critical thinking by having the capacity to assess ideas, concepts, and solutions in a critical manner.
4. Able to be adaptable by having the capacity to navigate unpredictable changes and challenges inherent in creative processes and industry environments.","Commits to continuous learning and innovation, seeking opportunities to deepen understanding of ecosystems dynamics, refine systems thinking skills, and explore emerging trends and technologies relevant to creative practice.

Applies innovative problem-solving techniques and systems leadership approaches to address complex challenges within broader ecosystems, mobilizing collective intelligence and resources to drive systemic change and sustainable development.

Exercises autonomy in designing and implementing multidisciplinary projects within broader ecosystems, aligning strategies, resources, and stakeholders to achieve desired outcomes while adapting to changing contexts.",Rural Innovation Agent
,Interacting in creative ecosystems,"Creative repurposing: Experiments
in  avant-garde fashion and high quality
cuisine",6,Experimenting with new relationships between knowledges,"1. Learner contextualises creative practices within a broader ecosystem.

2. Learner recognises the value of system thinking and complexity science.

3. Learner gathers information and manages complexity in specific contexts while developing a creative understanding of artistic entrepreneuship.

4. Learner develops a holistic understanding of impact and value within a multidisciplinary professional context.


This module will enable learners to contextualise creative practices within a broader ecosystem. The learners will develop skills regarding recognition of the value of system thinking and complexity science, gather information and manage complexity in specific contexts while developing a creative understanding of artistic entrepreneuship. Result will be a holistic understanding of impact and value within a multi-disciplinary professional context.","1. Understands ecosystem contextualization, such as the interconnectedness of creative practice within broader social, cultural, economic, and environmental ecosystems, and recognizes the impacts and dependencies across various sectors.
2. Awareness of ethical considerations relating to ethical dilemmas and responsibilities within creative work, including issues of representation, ownership, instrumentality and sustainability.
3.  Knows how to use systems thinking to manage complexity, specifically proficiency in applying systems thinking principles and practices to manage complexity within creative projects and ecosystems, identifying interdependencies, feedback loops, and emergent behaviours.","1. Able to participate in multidisciplinary collaboration by having the capacity to collaborate effectively across disciplines and sectors, utilising diverse perspectives, skills, and resources to co-create innovative solutions within broader ecosystems.
2. Knows how to use systems mapping and complexity analysis by having the ability to map complex systems and analyse the systemic complexity within multidisciplinary projects, utilising systems thinking tools and techniques to identify underlying patterns and leverage points for intervention.
3. Knows how to apply experimental solutions by having the capacity to select and experiment with solutions within multidisciplinary projects, taking into account the systemic impacts and feedback loops, in order to iteratively refine and adapt approaches.","Upholds ethical standards in all aspects of multidisciplinary projects, advocating for inclusivity, diversity, and sustainability within broader ecosystems, and addressing systemic inequities and injustices.

Assumes accountability for managing risks associated with multidisciplinary projects within complex ecosystems, proactively identifying potential barriers and developing adaptive strategies.",Cross creation orchestrator
,Collective Action (From urgency to action),"Start making sense: Storytelling
and decision making in the age of multiple crisis situations  ",6,Translating collective intelligences into emancipatory practices,"1. Learner recognises the potential of co-agency for the implementation of actionable solutions.

2. Learner evaluates quality according to multiple criteria and in a wide range of approaches.

3. Learner reframes the urgencies of the triple transition from threats into opportunities.

This module will enable learners to recognise the potential of co-agency for the implementation of actionable solutions. The learners will develop skills on how to evaluate quality according to multiple criteria and in a wide range of approaches. As a result the learners will be able to reframe the urgencies of the triple transition from threats into opportunities.","1. Knowledge of multidisciplinary project design, such as designing and managing multidisciplinary projects, integrating diverse perspectives, skills, and stakeholders to address complex challenges effectively.
2. Aware of ethical considerations in multidisciplinary projects, such as of ethical dilemmas and responsibilities within multidisciplinary projects, including issues of representation, power dynamics, and sustainability within broader ecosystems.
3. Knowledge of innovation strategies.","1. Knows how to apply strategic project design by having the capacity to design and manage multidisciplinary projects in a strategic manner, defining clear objectives, roles, and processes to optimise collaboration and outcomes within complex ecosystems.
2. Knows how to apply creative synthesis and communication by having the capacity to synthesise disparate perspectives and to communicate complex ideas in a lucid and compelling manner to stakeholders within and beyond the creative practice context, thereby fostering understanding and buy-in for multidisciplinary projects.
3. Able to demonstrate proficiency in adaptive leadership within multidisciplinary contexts, navigating uncertainty, complexity, and change to drive innovation and positive impact within broader ecosystems.","Shows decision-making authority and exercises autonomy in selecting and applying effective creative techniques and organizing/facilitating creative processes to address specific challenges or opportunities.

Leads by example in upholding ethical standards and considerations within creative work, advocating for responsible representation, appropriation, and sustainable practices.

Shows strategic leadership by taking charge of leading and guiding creative initiatives within teams or organizations, applying principles of design leadership and participatory processes to foster collaboration and innovation.

Shows strategic leadership in ecosystem engagement by taking leadership in engaging with broader ecosystems, applying systems thinking to identify opportunities and challenges, and mobilizing resources and partnerships to drive positive change.",Creative transformation manager
